# DRO_SourceID DetLink DetSlot DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link
208 0 4 17 3 pc-tbed-tpu-05009 1 0 4
209 0 5 17 3 pc-tbed-tpu-05009 1 0 5
210 0 6 17 3 pc-tbed-tpu-05009 1 0 6
211 0 7 17 3 pc-tbed-tpu-05009 1 0 7
212 0 8 17 3 pc-tbed-tpu-05009 1 0 8
213 0 9 17 3 pc-tbed-tpu-05009 1 0 9
214 0 10 17 3 pc-tbed-tpu-05009 1 0 10
215 0 11 17 3 pc-tbed-tpu-05009 1 0 11
216 0 0 18 3 pc-tbed-tpu-05010 0 0 0
217 0 1 18 3 pc-tbed-tpu-05010 0 0 1
218 0 2 18 3 pc-tbed-tpu-05010 0 0 2
219 0 3 18 3 pc-tbed-tpu-05010 0 0 3
220 0 4 18 3 pc-tbed-tpu-05010 0 0 4
221 0 5 18 3 pc-tbed-tpu-05010 0 0 5
222 0 6 18 3 pc-tbed-tpu-05010 0 0 6
223 0 7 18 3 pc-tbed-tpu-05010 0 0 7
224 0 8 18 3 pc-tbed-tpu-05010 0 0 8
225 0 9 18 3 pc-tbed-tpu-05010 0 0 9
226 0 10 18 3 pc-tbed-tpu-05010 0 0 10
227 0 11 18 3 pc-tbed-tpu-05010 0 0 11
228 0 0 19 3 pc-tbed-tpu-05010 1 0 0
229 0 1 19 3 pc-tbed-tpu-05010 1 0 1
230 0 2 19 3 pc-tbed-tpu-05010 1 0 2
231 0 3 19 3 pc-tbed-tpu-05010 1 0 3
232 0 4 19 3 pc-tbed-tpu-05010 1 0 4
233 0 5 19 3 pc-tbed-tpu-05010 1 0 5
234 0 6 19 3 pc-tbed-tpu-05010 1 0 6
235 0 7 19 3 pc-tbed-tpu-05010 1 0 7
236 0 8 19 3 pc-tbed-tpu-05010 1 0 8
237 0 9 19 3 pc-tbed-tpu-05010 1 0 9
238 0 10 19 3 pc-tbed-tpu-05010 1 0 10
239 0 11 19 3 pc-tbed-tpu-05010 1 0 11
240 0 0 20 3 pc-tbed-tpu-05011 0 0 0
241 0 1 20 3 pc-tbed-tpu-05011 0 0 1
242 0 2 20 3 pc-tbed-tpu-05011 0 0 2
243 0 3 20 3 pc-tbed-tpu-05011 0 0 3
244 0 4 20 3 pc-tbed-tpu-05011 0 0 4
245 0 5 20 3 pc-tbed-tpu-05011 0 0 5
246 0 6 20 3 pc-tbed-tpu-05011 0 0 6
247 0 7 20 3 pc-tbed-tpu-05011 0 0 7
248 0 8 20 3 pc-tbed-tpu-05011 0 0 8
249 0 9 20 3 pc-tbed-tpu-05011 0 0 9
250 0 10 20 3 pc-tbed-tpu-05011 0 0 10
251 0 11 20 3 pc-tbed-tpu-05011 0 0 11
252 0 0 21 3 pc-tbed-tpu-05011 1 0 0
253 0 1 21 3 pc-tbed-tpu-05011 1 0 1
254 0 2 21 3 pc-tbed-tpu-05011 1 0 2
255 0 3 21 3 pc-tbed-tpu-05011 1 0 3
256 0 4 21 3 pc-tbed-tpu-05011 1 0 4
257 0 5 21 3 pc-tbed-tpu-05011 1 0 5
258 0 6 21 3 pc-tbed-tpu-05011 1 0 6
259 0 7 21 3 pc-tbed-tpu-05011 1 0 7
260 0 8 21 3 pc-tbed-tpu-05011 1 0 8
261 0 9 21 3 pc-tbed-tpu-05011 1 0 9
262 0 10 21 3 pc-tbed-tpu-05011 1 0 10
263 0 11 21 3 pc-tbed-tpu-05011 1 0 11
